College Name,Location,Rating,Reviews,NIRF Ranking,College URL,Course Title,Total Fees,Course Mode,Course Duration,Course Description,Eligibility Criteria,Selection Process,Entrance Exam,Total Seats
IIT Madras (IITM) - Indian Institute of Technology Madras,N/A,4.7/5,120 Reviews,NIRF Ranking: 1,https://www.careers360.com/university/indian-institute-of-technology-madras,M.Sc Chemistry at IIT Madras (IITM) Offline Course,N/A,Full time,24 Months,Master of Science in Chemistry is two years (4 Semester) full-time postgraduate program in Science stream offered by Indian Institute of Technology Madras.,"Bachelor's degree with Chemistry as a subject for three years/ six semesters Mathematics as a subject at (10+2) level. At least 55% aggregate marks or 5.5 out of 10, without rounding off (taking into account all subjects, including languages and subsidiaries, all years combined) in the qualifying degree for General/OBC/EWS category candidatesAt least 50% aggregate marks or 5.0 out of 10, without rounding off (taking into account all subjects, including languages and subsidiaries, all years combined) in the qualifying degree for SC/ST and PwD category candidates",Admissions are done on the basis of JAM score.,JAM,67
IIT Madras (IITM) - Indian Institute of Technology Madras,N/A,4.7/5,120 Reviews,NIRF Ranking: 1,https://www.careers360.com/university/indian-institute-of-technology-madras,M.Tech Computer Science and Engineering at IIT Madras (IITM) Offline Course,General₹ 30.45 K,Full time,24 Months,Master of Technology in Computer Science and Engineering is two years (4 Semester) full-time postgraduate engineering program offered by Indian Institute of Technology Madras.,"FOR GATE QUALIFIED CANDIDATES Candidates qualified in GATE 2022, GATE 2023, or GATE 2024 and satisfying any one of the following: i. Bachelor’s degree in Engineering/ Technology/ Architecture from Educational Institutions approved by AICTE/ Government* ii. Master’s degree in Chemistry/ Life Sciences/ Mathematics/ Physics related subjects from educational Institutions approved by UGC/ Government* iii. Degrees obtained through Distance Education/ Correspondence Mode for the qualifying degree specified in [(i) or (ii)]. The Departments will follow suitability test/ interview procedure for screening in such cases. iv. Candidates yet to appear or have appeared in the final examination for the qualifying degree specified in [(i) or (ii)] and whose results are likely to be declared by July 15, 2024 v. Associate Membership holders of professional bodies for Admission into their parent disciplines from the following: • The Institution of Engineers (India) (AMIE) • The Aeronautical Society of India (AMAeSI) (eligible only for aerodynamics, structures, and propulsions streams) • The Indian Institute of Metals (AMIIM) • The Indian Institute of Chemical Engineers, including Polymer and Environmental Group (AMIIChemE) • The Institution of Electronics and Telecommunication Engineers (AMIETE) * If the degree is issued by a university in countries other than India, the degree must be recognized by the Association of Indian Universities (AIU)/ Commonwealth Universities/ International Association of Universities (IAU) as equivalent to the corresponding Indian Degrees/ Certificates. Additional requirements of GRE/ TOEFL may be required.FOR IIT GRADUATES Candidates graduating/ graduated from IITs with B.Tech. degree and having CGPA of 8.0 (on a scale of 10) and above can apply without GATE Score. These applications will be reviewed by the respective Department(s). FOR SPONSORED CANDIDATES Candidates employed and sponsored (with full pay and allowances for 24 months) by industry/ government organizations/ private and public enterprises, engaged in R&D work recognized by DST/ engineering colleges recognized by AICTE, possessing at least two years of professional experience as on the last date of receipt of applications at IIT Madras can apply, provided they hold: (i) B.E/ B.Tech. degree from AICTE recognized Engineering Colleges/ University with first class or 60% aggregate marks in all the four years (no need for having GATE Score); or (ii) AMIE or any other Associate memberships listed above (no need for having a GATE Score)",The admission for this programme is based on the percentile score in the Graduate Aptitude Test in Engineering (GATE) and personal interviews conducted at IIT Madras.,GATE,67
IIT Madras (IITM) - Indian Institute of Technology Madras,N/A,4.7/5,120 Reviews,NIRF Ranking: 1,https://www.careers360.com/university/indian-institute-of-technology-madras,M.Sc Physics at IIT Madras (IITM) Offline Course,N/A,Full time,24 Months,Master of Science in Physics is two years (4 Semester) full-time postgraduate program in Science stream offered by Indian Institute of Technology Madras.,"No restrictions for engineering degrees. For B.Sc./B.S. degree, Physics for at least two years/four semesters and Mathematics for at least one year/two semesters.At least 55% aggregate marks or 5.5 out of 10, without rounding off (taking into account all subjects, including languages and subsidiaries, all years combined) in the qualifying degree for General/OBC/EWS category candidatesAt least 50% aggregate marks or 5.0 out of 10, without rounding off (taking into account all subjects, including languages and subsidiaries, all years combined) in the qualifying degree for SC/ST and PwD category candidates",Admissions are done on the basis of JAM score.,JAM,54
IIT Madras (IITM) - Indian Institute of Technology Madras,N/A,4.7/5,120 Reviews,NIRF Ranking: 1,https://www.careers360.com/university/indian-institute-of-technology-madras,M.Sc Mathematics at IIT Madras (IITM) Offline Course,N/A,Full time,24 Months,Master of Science in Mathematics is full time two-year course degree offered by Indian Institute of Technology Madras.,"Bachelor's degree with Mathematics as a subject for at least two years/four semestersAt least 55% aggregate marks or 5.5 out of 10, without rounding off (taking into account all subjects, including languages and subsidiaries, all years combined) in the qualifying degree for General/OBC/EWS category candidatesAt least 50% aggregate marks or 5.0 out of 10, without rounding off (taking into account all subjects, including languages and subsidiaries, all years combined) in the qualifying degree for SC/ST and PwD category candidates",Admission to M.Sc. programmes at IIT Madras is open to candidates qualified in JAM -Joint Admission Test to M.Sc. JAM is an allIndia common admission test for candidates seeking admission to Post Graduate programmes in Science subjects in all IITs.,JAM,49
IIT Madras (IITM) - Indian Institute of Technology Madras,N/A,4.7/5,120 Reviews,NIRF Ranking: 1,https://www.careers360.com/university/indian-institute-of-technology-madras,M.Tech Thermal Engineering at IIT Madras (IITM) Offline Course,General₹ 30.45 K,Full time,24 Months,Master of Technology in Thermal Engineering is two years (4 Semester) full-time postgraduate engineering program offered by Indian Institute of Technology Madras.,"FOR GATE QUALIFIED CANDIDATES Candidates qualified in GATE 2022, GATE 2023, or GATE 2024 and satisfying any one of the following: i. Bachelor’s degree in Engineering/ Technology/ Architecture from Educational Institutions approved by AICTE/ Government* ii. Master’s degree in Chemistry/ Life Sciences/ Mathematics/ Physics related subjects from educational Institutions approved by UGC/ Government* iii. Degrees obtained through Distance Education/ Correspondence Mode for the qualifying degree specified in [(i) or (ii)]. The Departments will follow suitability test/ interview procedure for screening in such cases. iv. Candidates yet to appear or have appeared in the final examination for the qualifying degree specified in [(i) or (ii)] and whose results are likely to be declared by July 15, 2024 v. Associate Membership holders of professional bodies for Admission into their parent disciplines from the following: • The Institution of Engineers (India) (AMIE) • The Aeronautical Society of India (AMAeSI) (eligible only for aerodynamics, structures, and propulsions streams) • The Indian Institute of Metals (AMIIM) • The Indian Institute of Chemical Engineers, including Polymer and Environmental Group (AMIIChemE) • The Institution of Electronics and Telecommunication Engineers (AMIETE) * If the degree is issued by a university in countries other than India, the degree must be recognized by the Association of Indian Universities (AIU)/ Commonwealth Universities/ International Association of Universities (IAU) as equivalent to the corresponding Indian Degrees/ Certificates. Additional requirements of GRE/ TOEFL may be required.FOR IIT GRADUATES Candidates graduating/ graduated from IITs with B.Tech. degree and having CGPA of 8.0 (on a scale of 10) and above can apply without GATE Score. These applications will be reviewed by the respective Department(s). FOR SPONSORED CANDIDATES Candidates employed and sponsored (with full pay and allowances for 24 months) by industry/ government organizations/ private and public enterprises, engaged in R&D work recognized by DST/ engineering colleges recognized by AICTE, possessing at least two years of professional experience as on the last date of receipt of applications at IIT Madras can apply, provided they hold: (i) B.E/ B.Tech. degree from AICTE recognized Engineering Colleges/ University with first class or 60% aggregate marks in all the four years (no need for having GATE Score); or (ii) AMIE or any other Associate memberships listed above (no need for having a GATE Score)",The admission for this programme is based on the percentile score in the Graduate Aptitude Test in Engineering (GATE) and personal interviews conducted at IIT Madras.,GATE,44
IIT Madras (IITM) - Indian Institute of Technology Madras,N/A,4.7/5,120 Reviews,NIRF Ranking: 1,https://www.careers360.com/university/indian-institute-of-technology-madras,M.Tech Chemical Engineering at IIT Madras (IITM) Offline Course,General₹ 30.45 K,Full time,24 Months,Master of Technology in Chemical Engineering is two years (4 Semester) full-time postgraduate engineering program offered by Indian Institute of Technology Madras.,"FOR GATE QUALIFIED CANDIDATES Candidates qualified in GATE 2022, GATE 2023, or GATE 2024 and satisfying any one of the following: i. Bachelor’s degree in Engineering/ Technology/ Architecture from Educational Institutions approved by AICTE/ Government* ii. Master’s degree in Chemistry/ Life Sciences/ Mathematics/ Physics related subjects from educational Institutions approved by UGC/ Government* iii. Degrees obtained through Distance Education/ Correspondence Mode for the qualifying degree specified in [(i) or (ii)]. The Departments will follow suitability test/ interview procedure for screening in such cases. iv. Candidates yet to appear or have appeared in the final examination for the qualifying degree specified in [(i) or (ii)] and whose results are likely to be declared by July 15, 2024 v. Associate Membership holders of professional bodies for Admission into their parent disciplines from the following: • The Institution of Engineers (India) (AMIE) • The Aeronautical Society of India (AMAeSI) (eligible only for aerodynamics, structures, and propulsions streams) • The Indian Institute of Metals (AMIIM) • The Indian Institute of Chemical Engineers, including Polymer and Environmental Group (AMIIChemE) • The Institution of Electronics and Telecommunication Engineers (AMIETE) * If the degree is issued by a university in countries other than India, the degree must be recognized by the Association of Indian Universities (AIU)/ Commonwealth Universities/ International Association of Universities (IAU) as equivalent to the corresponding Indian Degrees/ Certificates. Additional requirements of GRE/ TOEFL may be required.FOR IIT GRADUATES Candidates graduating/ graduated from IITs with B.Tech. degree and having CGPA of 8.0 (on a scale of 10) and above can apply without GATE Score. These applications will be reviewed by the respective Department(s). FOR SPONSORED CANDIDATES Candidates employed and sponsored (with full pay and allowances for 24 months) by industry/ government organizations/ private and public enterprises, engaged in R&D work recognized by DST/ engineering colleges recognized by AICTE, possessing at least two years of professional experience as on the last date of receipt of applications at IIT Madras can apply, provided they hold: (i) B.E/ B.Tech. degree from AICTE recognized Engineering Colleges/ University with first class or 60% aggregate marks in all the four years (no need for having GATE Score); or (ii) AMIE or any other Associate memberships listed above (no need for having a GATE Score)",The admission for this programme is based on the percentile score in the Graduate Aptitude Test in Engineering (GATE) and personal interviews conducted at IIT Madras.,GATE,32
IIT Madras (IITM) - Indian Institute of Technology Madras,N/A,4.7/5,120 Reviews,NIRF Ranking: 1,https://www.careers360.com/university/indian-institute-of-technology-madras,M.Tech Metallurgical and Materials Engineering at IIT Madras (IITM) Offline Course,General₹ 30.45 K,Full time,24 Months,Master of Technology in Metallurgical and Materials Engineering is two years (4 Semester) full-time postgraduate engineering program offered by Indian Institute of Technology Madras.,"FOR GATE QUALIFIED CANDIDATES Candidates qualified in GATE 2022, GATE 2023, or GATE 2024 and satisfying any one of the following: i. Bachelor’s degree in Engineering/ Technology/ Architecture from Educational Institutions approved by AICTE/ Government* ii. Master’s degree in Chemistry/ Life Sciences/ Mathematics/ Physics related subjects from educational Institutions approved by UGC/ Government* iii. Degrees obtained through Distance Education/ Correspondence Mode for the qualifying degree specified in [(i) or (ii)]. The Departments will follow suitability test/ interview procedure for screening in such cases. iv. Candidates yet to appear or have appeared in the final examination for the qualifying degree specified in [(i) or (ii)] and whose results are likely to be declared by July 15, 2024 v. Associate Membership holders of professional bodies for Admission into their parent disciplines from the following: • The Institution of Engineers (India) (AMIE) • The Aeronautical Society of India (AMAeSI) (eligible only for aerodynamics, structures, and propulsions streams) • The Indian Institute of Metals (AMIIM) • The Indian Institute of Chemical Engineers, including Polymer and Environmental Group (AMIIChemE) • The Institution of Electronics and Telecommunication Engineers (AMIETE) * If the degree is issued by a university in countries other than India, the degree must be recognized by the Association of Indian Universities (AIU)/ Commonwealth Universities/ International Association of Universities (IAU) as equivalent to the corresponding Indian Degrees/ Certificates. Additional requirements of GRE/ TOEFL may be required.FOR IIT GRADUATES Candidates graduating/ graduated from IITs with B.Tech. degree and having CGPA of 8.0 (on a scale of 10) and above can apply without GATE Score. These applications will be reviewed by the respective Department(s). FOR SPONSORED CANDIDATES Candidates employed and sponsored (with full pay and allowances for 24 months) by industry/ government organizations/ private and public enterprises, engaged in R&D work recognized by DST/ engineering colleges recognized by AICTE, possessing at least two years of professional experience as on the last date of receipt of applications at IIT Madras can apply, provided they hold: (i) B.E/ B.Tech. degree from AICTE recognized Engineering Colleges/ University with first class or 60% aggregate marks in all the four years (no need for having GATE Score); or (ii) AMIE or any other Associate memberships listed above (no need for having a GATE Score)",The admission for this programme is based on the percentile score in the Graduate Aptitude Test in Engineering (GATE) and personal interviews conducted at IIT Madras.,GATE,27
IIT Madras (IITM) - Indian Institute of Technology Madras,N/A,4.7/5,120 Reviews,NIRF Ranking: 1,https://www.careers360.com/university/indian-institute-of-technology-madras,M.Tech Manufacturing Engineering at IIT Madras (IITM) Offline Course,General₹ 30.45 K,Full time,24 Months,Master of Technology in Manufacturing Engineering is two years (4 Semester) full-time postgraduate engineering program offered by Indian Institute of Technology Madras.,"FOR GATE QUALIFIED CANDIDATES Candidates qualified in GATE 2022, GATE 2023, or GATE 2024 and satisfying any one of the following: i. Bachelor’s degree in Engineering/ Technology/ Architecture from Educational Institutions approved by AICTE/ Government* ii. Master’s degree in Chemistry/ Life Sciences/ Mathematics/ Physics related subjects from educational Institutions approved by UGC/ Government* iii. Degrees obtained through Distance Education/ Correspondence Mode for the qualifying degree specified in [(i) or (ii)]. The Departments will follow suitability test/ interview procedure for screening in such cases. iv. Candidates yet to appear or have appeared in the final examination for the qualifying degree specified in [(i) or (ii)] and whose results are likely to be declared by July 15, 2024 v. Associate Membership holders of professional bodies for Admission into their parent disciplines from the following: • The Institution of Engineers (India) (AMIE) • The Aeronautical Society of India (AMAeSI) (eligible only for aerodynamics, structures, and propulsions streams) • The Indian Institute of Metals (AMIIM) • The Indian Institute of Chemical Engineers, including Polymer and Environmental Group (AMIIChemE) • The Institution of Electronics and Telecommunication Engineers (AMIETE) * If the degree is issued by a university in countries other than India, the degree must be recognized by the Association of Indian Universities (AIU)/ Commonwealth Universities/ International Association of Universities (IAU) as equivalent to the corresponding Indian Degrees/ Certificates. Additional requirements of GRE/ TOEFL may be required.FOR IIT GRADUATES Candidates graduating/ graduated from IITs with B.Tech. degree and having CGPA of 8.0 (on a scale of 10) and above can apply without GATE Score. These applications will be reviewed by the respective Department(s). FOR SPONSORED CANDIDATES Candidates employed and sponsored (with full pay and allowances for 24 months) by industry/ government organizations/ private and public enterprises, engaged in R&D work recognized by DST/ engineering colleges recognized by AICTE, possessing at least two years of professional experience as on the last date of receipt of applications at IIT Madras can apply, provided they hold: (i) B.E/ B.Tech. degree from AICTE recognized Engineering Colleges/ University with first class or 60% aggregate marks in all the four years (no need for having GATE Score); or (ii) AMIE or any other Associate memberships listed above (no need for having a GATE Score)",The admission for this programme is based on the percentile score in the Graduate Aptitude Test in Engineering (GATE) and personal interviews conducted at IIT Madras.,GATE,25
IIT Madras (IITM) - Indian Institute of Technology Madras,N/A,4.7/5,120 Reviews,NIRF Ranking: 1,https://www.careers360.com/university/indian-institute-of-technology-madras,M.Tech Data Science and Artificial Intelligence at IIT Madras (IITM) Offline Course,General₹ 30.45 K,Full time,24 Months,Master of Technology in Data Science and Artificial Intelligence is two years (4 Semester) full-time postgraduate engineering program offered by Indian Institute of Technology Madras.,"FOR GATE QUALIFIED CANDIDATES Candidates qualified in GATE 2022, GATE 2023, or GATE 2024 and satisfying any one of the following: i. Bachelor’s degree in Engineering/ Technology/ Architecture from Educational Institutions approved by AICTE/ Government* ii. Master’s degree in Chemistry/ Life Sciences/ Mathematics/ Physics related subjects from educational Institutions approved by UGC/ Government* iii. Degrees obtained through Distance Education/ Correspondence Mode for the qualifying degree specified in [(i) or (ii)]. The Departments will follow suitability test/ interview procedure for screening in such cases. iv. Candidates yet to appear or have appeared in the final examination for the qualifying degree specified in [(i) or (ii)] and whose results are likely to be declared by July 15, 2024 v. Associate Membership holders of professional bodies for Admission into their parent disciplines from the following: • The Institution of Engineers (India) (AMIE) • The Aeronautical Society of India (AMAeSI) (eligible only for aerodynamics, structures, and propulsions streams) • The Indian Institute of Metals (AMIIM) • The Indian Institute of Chemical Engineers, including Polymer and Environmental Group (AMIIChemE) • The Institution of Electronics and Telecommunication Engineers (AMIETE) * If the degree is issued by a university in countries other than India, the degree must be recognized by the Association of Indian Universities (AIU)/ Commonwealth Universities/ International Association of Universities (IAU) as equivalent to the corresponding Indian Degrees/ Certificates. Additional requirements of GRE/ TOEFL may be required.FOR IIT GRADUATES Candidates graduating/ graduated from IITs with B.Tech. degree and having CGPA of 8.0 (on a scale of 10) and above can apply without GATE Score. These applications will be reviewed by the respective Department(s). FOR SPONSORED CANDIDATES Candidates employed and sponsored (with full pay and allowances for 24 months) by industry/ government organizations/ private and public enterprises, engaged in R&D work recognized by DST/ engineering colleges recognized by AICTE, possessing at least two years of professional experience as on the last date of receipt of applications at IIT Madras can apply, provided they hold: (i) B.E/ B.Tech. degree from AICTE recognized Engineering Colleges/ University with first class or 60% aggregate marks in all the four years (no need for having GATE Score); or (ii) AMIE or any other Associate memberships listed above (no need for having a GATE Score)",N/A,GATE,25
IIT Madras (IITM) - Indian Institute of Technology Madras,N/A,4.7/5,120 Reviews,NIRF Ranking: 1,https://www.careers360.com/university/indian-institute-of-technology-madras,M.Tech Mechanical Design at IIT Madras (IITM) Offline Course,General₹ 30.45 K,Full time,24 Months,Master of Technology in Mechanical Design Engineering is two years (4 Semester) full-time postgraduate engineering program offered by Indian Institute of Technology Madras.,"FOR GATE QUALIFIED CANDIDATES Candidates qualified in GATE 2022, GATE 2023, or GATE 2024 and satisfying any one of the following: i. Bachelor’s degree in Engineering/ Technology/ Architecture from Educational Institutions approved by AICTE/ Government* ii. Master’s degree in Chemistry/ Life Sciences/ Mathematics/ Physics related subjects from educational Institutions approved by UGC/ Government* iii. Degrees obtained through Distance Education/ Correspondence Mode for the qualifying degree specified in [(i) or (ii)]. The Departments will follow suitability test/ interview procedure for screening in such cases. iv. Candidates yet to appear or have appeared in the final examination for the qualifying degree specified in [(i) or (ii)] and whose results are likely to be declared by July 15, 2024 v. Associate Membership holders of professional bodies for Admission into their parent disciplines from the following: • The Institution of Engineers (India) (AMIE) • The Aeronautical Society of India (AMAeSI) (eligible only for aerodynamics, structures, and propulsions streams) • The Indian Institute of Metals (AMIIM) • The Indian Institute of Chemical Engineers, including Polymer and Environmental Group (AMIIChemE) • The Institution of Electronics and Telecommunication Engineers (AMIETE) * If the degree is issued by a university in countries other than India, the degree must be recognized by the Association of Indian Universities (AIU)/ Commonwealth Universities/ International Association of Universities (IAU) as equivalent to the corresponding Indian Degrees/ Certificates. Additional requirements of GRE/ TOEFL may be required.FOR IIT GRADUATES Candidates graduating/ graduated from IITs with B.Tech. degree and having CGPA of 8.0 (on a scale of 10) and above can apply without GATE Score. These applications will be reviewed by the respective Department(s). FOR SPONSORED CANDIDATES Candidates employed and sponsored (with full pay and allowances for 24 months) by industry/ government organizations/ private and public enterprises, engaged in R&D work recognized by DST/ engineering colleges recognized by AICTE, possessing at least two years of professional experience as on the last date of receipt of applications at IIT Madras can apply, provided they hold: (i) B.E/ B.Tech. degree from AICTE recognized Engineering Colleges/ University with first class or 60% aggregate marks in all the four years (no need for having GATE Score); or (ii) AMIE or any other Associate memberships listed above (no need for having a GATE Score)",The admission for this programme is based on the percentile score in the Graduate Aptitude Test in Engineering (GATE) and personal interviews conducted at IIT Madras.,GATE,25
