College Name,Location,Rating,Reviews,NIRF Ranking,College URL
IIT Madras (IITM) - Indian Institute of Technology Madras,N/A,4.7/5,120 Reviews,NIRF Ranking: 1,https://www.careers360.com/university/indian-institute-of-technology-madras
"IISc Bangalore - Indian Institute of Science, Bangalore",N/A,4.7/5,43 Reviews,NIRF Ranking: 2,https://www.careers360.com/university/indian-institute-of-science-bangalore
IIT Bombay - Indian Institute of Technology Bombay,N/A,4.6/5,162 Reviews,NIRF Ranking: 3,https://www.careers360.com/university/indian-institute-of-technology-bombay
IIT Delhi - Indian Institute of Technology Delhi,N/A,4.6/5,288 Reviews,NIRF Ranking: 4,https://www.careers360.com/university/indian-institute-of-technology-delhi
IIT Kanpur - Indian Institute of Technology Kanpur,N/A,4.4/5,161 Reviews,NIRF Ranking: 5,https://www.careers360.com/university/indian-institute-of-technology-kanpur
IIT Kharagpur - Indian Institute of Technology Kharagpur,N/A,4.7/5,326 Reviews,NIRF Ranking: 6,https://www.careers360.com/university/indian-institute-of-technology-kharagpur
AIIMS Delhi - All India Institute of Medical Sciences New Delhi,N/A,4.6/5,23 Reviews,NIRF Ranking: 7,https://www.careers360.com/university/all-india-institute-of-medical-sciences-new-delhi
IIT Roorkee - Indian Institute of Technology Roorkee,N/A,4.4/5,410 Reviews,NIRF Ranking: 8,https://www.careers360.com/university/indian-institute-of-technology-roorkee
IIT Guwahati (IITG) - Indian Institute of Technology Guwahati,N/A,4.3/5,187 Reviews,NIRF Ranking: 9,https://www.careers360.com/university/indian-institute-of-technology-guwahati
"JNU Delhi - Jawaharlal Nehru University, New Delhi",N/A,4.5/5,86 Reviews,NIRF Ranking: 10,https://www.careers360.com/university/jawaharlal-nehru-university-new-delhi
"BHU Varanasi - Banaras Hindu University, Varanasi",N/A,4.4/5,507 Reviews,NIRF Ranking: 11,https://www.careers360.com/university/banaras-hindu-university-varanasi
IIT Hyderabad - Indian Institute of Technology Hyderabad,N/A,4.6/5,28 Reviews,NIRF Ranking: 12,https://www.careers360.com/university/indian-institute-of-technology-hyderabad
"JMI New Delhi - Jamia Millia Islamia, New Delhi",N/A,4.5/5,407 Reviews,NIRF Ranking: 13,https://www.careers360.com/university/jamia-millia-islamia-new-delhi
"Manipal Academy of Higher Education (MAHE) - Manipal Academy of Higher Education, Manipal",N/A,4.5/5,31 Reviews,NIRF Ranking: 14,https://www.careers360.com/university/manipal-academy-of-higher-education-manipal
"DU Delhi - University of Delhi, Delhi",N/A,4.2/5,284 Reviews,NIRF Ranking: 15,https://www.careers360.com/university/university-of-delhi-delhi
"AMU Aligarh - Aligarh Muslim University, Aligarh",N/A,4.7/5,417 Reviews,NIRF Ranking: 16,https://www.careers360.com/university/aligarh-muslim-university-aligarh
"Jadavpur University, Kolkata",N/A,4.6/5,232 Reviews,NIRF Ranking: 17,https://www.careers360.com/university/jadavpur-university-kolkata
"VIT Vellore - Vellore Institute of Technology, Vellore",N/A,4.4/5,798 Reviews,NIRF Ranking: 19,https://www.careers360.com/university/vellore-institute-of-technology-vellore
"SRM University Chennai - SRM Institute of Science and Technology, Chennai",N/A,4.3/5,737 Reviews,NIRF Ranking: 21,https://www.careers360.com/university/srm-institute-of-science-and-technology-chennai
"BITS Pilani - Birla Institute of Technology and Science, Pilani",N/A,4.5/5,266 Reviews,NIRF Ranking: 23,https://www.careers360.com/university/birla-institute-of-technology-and-science-pilani
"Siksha 'O' Anusandhan, Bhubaneswar",N/A,4.1/5,151 Reviews,NIRF Ranking: 24,https://www.careers360.com/university/siksha-o-anusandhan-bhubaneswar
"University of Hyderabad - University of Hyderabad, Hyderabad",N/A,4.8/5,38 Reviews,NIRF Ranking: 25,https://www.careers360.com/university/university-of-hyderabad-hyderabad
"Calcutta University - University of Calcutta, Kolkata",N/A,4.2/5,57 Reviews,NIRF Ranking: 26,https://www.careers360.com/university/university-of-calcutta-kolkata
"Homi Bhabha National Institute, Mumbai",N/A,N/A,N/A,NIRF Ranking: 27,https://www.careers360.com/university/homi-bhabha-national-institute-mumbai
"KIIT University - Kalinga Institute of Industrial Technology, Bhubaneswar",N/A,4.3/5,567 Reviews,NIRF Ranking: 28,https://www.careers360.com/university/kalinga-institute-of-industrial-technology-bhubaneswar
IIT Gandhinagar (IIT GN) - Indian Institute of Technology Gandhinagar,N/A,4.4/5,21 Reviews,NIRF Ranking: 29,https://www.careers360.com/university/indian-institute-of-technology-gandhinagar
IIT BHU - Indian Institute of Technology Banaras Hindu University Varanasi,N/A,4.6/5,161 Reviews,NIRF Ranking: 30,https://www.careers360.com/university/indian-institute-of-technology-banaras-hindu-university-varanasi
NIT Trichy - National Institute of Technology Tiruchirappalli,N/A,4.4/5,305 Reviews,NIRF Ranking: 31,https://www.careers360.com/university/national-institute-of-technology-tiruchirappalli
IIT Indore - Indian Institute of Technology Indore,N/A,4.6/5,36 Reviews,NIRF Ranking: 33,https://www.careers360.com/university/indian-institute-of-technology-indore
NIT Rourkela - National Institute of Technology Rourkela,N/A,4.6/5,341 Reviews,NIRF Ranking: 34,https://www.careers360.com/university/national-institute-of-technology-rourkela
IIT ISM Dhanbad - Indian Institute of Technology Indian School of Mines Dhanbad,N/A,4.3/5,204 Reviews,NIRF Ranking: 35,https://www.careers360.com/university/indian-institute-of-technology-indian-school-of-mines-dhanbad
"JSS Academy of Higher Education and Research, Mysuru",N/A,4.2/5,2 Reviews,NIRF Ranking: 36,https://www.careers360.com/university/jss-academy-of-higher-education-and-research-mysuru
"UNIPUNE (Pune University) - Savitribai Phule Pune University, Pune",N/A,4.3/5,78 Reviews,NIRF Ranking: 37,https://www.careers360.com/university/savitribai-phule-pune-university-pune
"Kerala University - University of Kerala, Thiruvananthapuram",N/A,4.5/5,4 Reviews,NIRF Ranking: 38,https://www.careers360.com/university/university-of-kerala-thiruvananthapuram
JIPMER Puducherry - Jawaharlal Institute of Postgraduate Medical Education and Research Puducherry,N/A,4.8/5,6 Reviews,NIRF Ranking: 39,https://www.careers360.com/university/jawaharlal-institute-of-postgraduate-medical-education-and-research-puducherry
"KL University Guntur - Koneru Lakshmaiah Education Foundation, Guntur",N/A,4.4/5,156 Reviews,NIRF Ranking: 40,https://www.careers360.com/university/koneru-lakshmaiah-education-foundation-guntur
IISER Pune - Indian Institute of Science Education and Research Pune,N/A,4.1/5,8 Reviews,NIRF Ranking: 42,https://www.careers360.com/university/indian-institute-of-science-education-and-research-pune
"Thapar Institute of Engineering and Technology, Patiala",N/A,4.3/5,337 Reviews,NIRF Ranking: 43,https://www.careers360.com/university/thapar-institute-of-engineering-and-technology-patiala
"Bharathiar University - Bharathiar University, Coimbatore",N/A,4.1/5,13 Reviews,NIRF Ranking: 44,https://www.careers360.com/university/bharathiar-university-coimbatore
"LPU Jalandhar - Lovely Professional University, Phagwara",N/A,4.4/5,1153 Reviews,NIRF Ranking: 45,https://www.careers360.com/university/lovely-professional-university-phagwara
NIT Surathkal (NITK) - National Institute of Technology Karnataka Surathkal,N/A,4.4/5,95 Reviews,NIRF Ranking: 46,https://www.careers360.com/university/national-institute-of-technology-karnataka-surathkal
"SASTRA University Thanjavur - Shanmugha Arts Science Technology Research and Academy, Thanjavur",N/A,4.2/5,183 Reviews,NIRF Ranking: 47,https://www.careers360.com/university/shanmugha-arts-science-technology-research-and-academy-thanjavur
IIT Ropar (IIT-RPR) - Indian Institute of Technology Ropar,N/A,4.5/5,126 Reviews,NIRF Ranking: 48,https://www.careers360.com/university/indian-institute-of-technology-ropar
"Amity University, Noida",N/A,4.1/5,401 Reviews,NIRF Ranking: 49,https://www.careers360.com/university/amity-university-noida
